Product Name,Price,Rating,Review Count,Product URL,Positive Reviews,Neutral Reviews,Negative Reviews,category,no_of_Reviews
"Samsung 253 L 3 Star with Inverter Double Door Refrigerator (RT28A3453S8/HL, Elegant Inox)- 2022 Model",31990.0,4.4,"5,784",https://www.amazon.in/Samsung-Inverter-Refrigerator-RT28A3453S8-HL/dp/B08SBSL8Y2/ref=sr_1_4?qid=1679134275&s=kitchen&sr=1-4,47,18,12,Refrigerators,536.0
"Samsung 183 L 2 Star Inverter Direct-Cool Single Door Refrigerator (RR20C2412GS/NL, Gray Silver)",17999.0,4.3,"5,862",https://www.amazon.in/Samsung-Direct-Cool-Refrigerator-RR20C2412GS-NL/dp/B0BR3V1SQT/ref=sr_1_5?qid=1679134275&s=kitchen&sr=1-5,77,12,11,Refrigerators,536.0
"Samsung 183 L 3 Star Inverter Direct-Cool Single Door Refrigerator (RR20C1723S8/HL, Silver, Elegant Inox)",18999.0,4.3,"1,801",https://www.amazon.in/Samsung-Direct-Cool-Refrigerator-RR20C1723S8-HL/dp/B0BR3WHPQP/ref=sr_1_6?qid=1679134275&s=kitchen&sr=1-6,80,11,9,Refrigerators,536.0
"Godrej 180 L 4 Star Direct Cool Single Door Refrigerator (RD EDGENEO 207D THF AQ BL, Aqua Blue, Turbo Cooling Technology, ...",18990.0,4.2,"1,282",https://www.amazon.in/Godrej-Direct-Cool-Refrigerator-EDGENEO-Technology/dp/B0BV27HC9R/ref=sr_1_7?qid=1679134275&s=kitchen&sr=1-7,81,15,4,Refrigerators,536.0
"Samsung 253L 3 Star Inverter Frost Free Double Door Refrigerator (RT28T3743S8/HL, Silver, Elegant Inox, Convertible, 2022 ...",34990.0,4.3,"3,072",https://www.amazon.in/Samsung-Refrigerator-RT28T3743S8-HL-Convertible/dp/B08346545V/ref=sr_1_8?qid=1679134275&s=kitchen&sr=1-8,93,3,4,Refrigerators,536.0
"Samsung 189 L 5 Star Inverter Direct-Cool Single Door Refrigerator (RR21C2H25CR/HL, Camellia Purple, Base Stand with Drawer)",24999.0,4.4,"3,477",https://www.amazon.in/Samsung-Direct-Cool-Refrigerator-RR21C2H25CR-HL/dp/B0BR3XFWKD/ref=sr_1_9?qid=1679134275&s=kitchen&sr=1-9,37,8,6,Refrigerators,536.0
"Samsung 324 L 3 Star Inverter Frost Free Double Door Refrigerator (RT34T4513S8/HL, Convertible 5In 1, Elegant Inox)",41900.0,4.3,"2,253",https://www.amazon.in/Samsung-Refrigerator-RT34T4513S8-HL-Convertible/dp/B08345R1ZW/ref=sr_1_10?qid=1679134275&s=kitchen&sr=1-10,19,4,8,Refrigerators,536.0
"Haier 190 L 4 Star Single Door Refrigerator (HED-204DS-P, Dazzle Steel,2023 Model)",20990.0,4.2,"4,185",https://www.amazon.in/Haier-Single-Refrigerator-HED-204DS-P-Dazzle/dp/B0BTHLMS39/ref=sr_1_11?qid=1679134275&s=kitchen&sr=1-11,77,12,11,Refrigerators,536.0
"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201APZU, Shiny Steel, Base stand with drawer)",21999.0,4.4,"1,357",https://www.amazon.in/LG-Inverter-Direct-Cool-Refrigerator-GL-D201APZU/dp/B0BRQ9L7P1/ref=sr_1_12?qid=1679134275&s=kitchen&sr=1-12,83,14,3,Refrigerators,536.0
"Haier 165 L 1 Star Single Door Refrigerator (HED-171RS-P, Red Steel,2023 Model)",14990.0,4.0,359,https://www.amazon.in/Haier-Single-Refrigerator-HED-171RS-P-Steel/dp/B0BTHLCK15/ref=sr_1_16?qid=1679134275&s=kitchen&sr=1-16,77,13,10,Refrigerators,359.0
